0 192 0;
0 176 7 110;
0 176 10 64;
0 176 100 0;
0 176 100 0;
0 176 101 0;
0 176 101 0;
0 176 6 0;
0 176 6 12;
0 176 38 0;
0 176 38 0;
0 144 60 69;
510.417 128 60 0;
510.417 144 60 65;
973.958 128 60 0;
1005.21 144 67 67;
1505.21 128 67 0;
1505.21 144 67 65;
1963.54 128 67 0;
2000 144 69 69;
2510.42 128 69 0;
2510.42 144 69 65;
2973.96 128 69 0;
3005.21 144 67 67;
3963.54 128 67 0;
4000 144 65 69;
4265.62 128 65 0;
4265.62 144 65 64;
4510.42 128 65 0;
4510.42 144 65 65;
4760.42 128 65 0;
4760.42 144 65 64;
4973.96 128 65 0;
5005.21 144 64 67;
5505.21 128 64 0;
5505.21 144 64 65;
6000 144 62 67;
6000 128 64 0;
6494.79 128 62 0;
6494.79 144 62 65;
6989.58 128 62 0;
7005.21 144 60 67;
7963.54 128 60 0;
8000 144 67 69;
8510.42 128 67 0;
8510.42 144 67 65;
8973.96 128 67 0;
9005.21 144 65 67;
9505.21 128 65 0;
9505.21 144 65 65;
9963.54 128 65 0;
10000 144 64 69;
10510.4 128 64 0;
10510.4 144 64 65;
10974 128 64 0;
11005.2 144 62 67;
11963.5 128 62 0;
12000 144 67 69;
12510.4 128 67 0;
12510.4 144 67 65;
12974 128 67 0;
13005.2 144 65 67;
13505.2 128 65 0;
13505.2 144 65 65;
13963.5 128 65 0;
14000 144 64 69;
14510.4 128 64 0;
14510.4 144 64 65;
14974 128 64 0;
15005.2 144 62 67;
15963.5 128 62 0;
16000 144 60 69;
16510.4 128 60 0;
16510.4 144 60 65;
16974 128 60 0;
17005.2 144 67 67;
17505.2 128 67 0;
17505.2 144 67 65;
17963.5 128 67 0;
18000 144 69 69;
18510.4 128 69 0;
18510.4 144 69 65;
18974 128 69 0;
19005.2 144 67 67;
19963.5 128 67 0;
20000 144 65 69;
20265.6 128 65 0;
20265.6 144 65 64;
20510.4 128 65 0;
20510.4 144 65 65;
20760.4 128 65 0;
20760.4 144 65 64;
20974 128 65 0;
21005.2 144 64 67;
21505.2 128 64 0;
21505.2 144 64 65;
22000 128 64 0;
22000 144 62 69;
22510.4 128 62 0;
22510.4 144 62 65;
22974 128 62 0;
23005.2 144 60 67;
23963.5 128 60 0;
